golden_id;cluster_id
g0;5971
g1;3219
g2;4727
g3;982
g4;36
g5;1470
g6;3396
g7;1637
g8;1606
g9;648
g10;379
g11;825
g12;840
g13;4397
g14;3855
g15;380
g16;4663
g17;4556
g18;2398
g19;4024
g20;4628
g21;2893
g22;12670
g23;13222
g24;1419
g25;731
g26;4825
g27;2078
g28;1126
g29;1249
g30;2774
g31;1839
g32;4664
g33;4544
g34;2021
g35;1365
g36;1266
g37;4131
g38;4132
g39;1778
g40;70
g41;2109
g42;1070
g43;308
g44;19376
g45;5207
g46;2987
g47;125
g48;865
g49;1351
g50;4550
g51;425
g52;1499
g53;457
g54;3355
g55;975
g56;1215
g57;2354
g58;1310
g59;3846
g60;1956
g61;340
g62;2690
g63;1237
g64;3240
g65;398
g66;761
g67;2226
g68;2514
g69;1754
g70;2702
g71;1787
g72;3571
g73;2330
g74;777
g75;1186
g76;390
g77;1193
g78;3815
g79;568
g80;948
g81;25128
g82;2462
g83;2122
g84;3205
g85;4547
g86;2600
g87;1876
g88;312
g89;1001
g90;4680
g91;2623
g92;4428
g93;719
g94;1715
g95;645
g96;613
g97;320
g98;1899
g99;1925
g100;5206
g101;1318
g102;3584
g103;1136
g104;1329
g105;2380
g106;2565
g107;2444
g108;4924
g109;542
g110;25001
g111;2384
g112;2407
g113;2389
g114;2545
g115;16355
g116;335
g117;2420
g118;3568
g119;400
g120;1965
g121;108
g122;854
g123;1399
g124;2030
g125;1380
g126;1039
g127;3417
g128;876
g129;66045
g130;5180
g131;24594
g132;641
g133;550
g134;417
g135;915
g136;116
g137;19126
g138;2992
