golden_id;cluster_id
g0;26959
g1;15515
g2;15515
g3;1109
g4;39865
g5;39477
g6;19719
g7;19719
g8;43583
g9;24074
g10;32428
g11;12714
g12;12714
g13;605
g14;605
g15;32400
g16;21160
g17;40472
g18;16498
g19;9690
g20;51692
g21;36808
g22;36808
g23;36808
g24;28515
g25;39082
g26;17831
g27;39994
g28;23236
g29;13339
g30;56621
g31;22887
g32;45053
g33;19274
g34;39989
g35;53496
g36;34729
g37;57649
g38;57649
g39;17893
g40;50325
g41;50325
g42;12878
g43;28690
g44;9719
g45;19939
g46;42403
g47;7915
g48;55500
g49;31597
g50;58642
g51;23338
g52;47593
g53;36761
g54;46296
g55;26606
g56;15445
g57;49475
g58;45915
g59;45590
g60;37068
g61;50671
g62;26339
g63;11999
g64;47688
g65;16706
g66;43549
g67;9690
g68;9690
g69;57127
g70;57127
g71;34274
g72;36179
g73;57645
g74;49066
g75;55469
g76;50443
g77;24004
g78;51384
g79;13018
g80;38250
g81;55109
g82;51078
g83;59668
g84;33057
g85;44999
g86;57659
g87;39032
g88;44639
g89;28676
g90;47522
g91;6430
g92;50516
g93;16236
g94;35810
g95;57582
g96;4093
g97;4093
g98;57582
g99;13621
g100;4093
g101;51536
g102;57582
g103;57582
g104;3743
g105;3873
g106;21987
g107;33292
g108;48966
g109;59802
g110;33820
g111;59802
g112;21780
g113;39234
g114;31324
g115;31776
g116;7524
g117;56554
g118;50172
g119;59802
g120;28690
g121;26781
g122;26781
g123;26781
g124;26781
g125;22926
g126;22246
g127;57649
g128;20647
g129;55500
g130;31366
g131;59668
g132;59668
g133;44999
g134;23401
g135;36808
g136;36808
g137;38165
g138;11661
