golden_id;cluster_id
g0;5976
g1;3215
g2;4724
g3;985
g4;36
g5;1469
g6;9111
g7;1637
g8;1606
g9;651
g10;379
g11;829
g12;844
g13;4395
g14;3853
g15;380
g16;4660
g17;4553
g18;2393
g19;4021
g20;4625
g21;2888
g22;13639
g23;4830
g24;1418
g25;734
g26;4822
g27;2076
g28;1127
g29;1249
g30;2771
g31;5036
g32;4661
g33;4540
g34;2019
g35;1365
g36;1266
g37;4129
g38;4130
g39;1779
g40;70
g41;2105
g42;1070
g43;307
g44;10556
g45;5209
g46;2983
g47;126
g48;869
g49;165
g50;4546
g51;425
g52;1498
g53;457
g54;3350
g55;978
g56;1215
g57;2349
g58;1310
g59;3844
g60;1952
g61;339
g62;2686
g63;1237
g64;3237
g65;398
g66;764
g67;2223
g68;2507
g69;1755
g70;2698
g71;1184
g72;3566
g73;2325
g74;780
g75;1186
g76;390
g77;1193
g78;3811
g79;570
g80;951
g81;12985
g82;2456
g83;2118
g84;4764
g85;4543
g86;2596
g87;1873
g88;311
g89;1004
g90;4677
g91;2620
g92;4427
g93;722
g94;1716
g95;648
g96;616
g97;319
g98;1896
g99;1921
g100;5208
g101;1318
g102;3578
g103;1137
g104;1329
g105;2375
g106;2560
g107;2437
g108;4921
g109;543
g110;12923
g111;2379
g112;2402
g113;2384
g114;2538
g115;9380
g116;334
g117;2415
g118;3562
g119;400
g120;1961
g121;109
g122;858
g123;1398
g124;2029
g125;1379
g126;1039
g127;3411
g128;880
g129;20355
g130;5182
g131;12763
g132;644
g133;551
g134;417
g135;919
g136;117
g137;10456
g138;2988
