golden_id;cluster_id
g0;2591
g1;1332
g2;842
g3;515
g4;527
g5;894
g6;1086
g7;992
g8;1714
g9;139
g10;187
g11;450
g12;450
g13;463
g14;669
g15;217
g16;1066
g17;24
g18;1680
g19;244
g20;655
g21;479
g22;655
g23;1380
g24;865
g25;1412
g26;3385
g27;1550
g28;1513
g29;1017
g30;1822
g31;2456
g32;628
g33;909
g34;1535
g35;6325
g36;696
g37;2782
g38;2782
g39;3365
g40;32
g41;577
g42;573
g43;174
g44;7296
g45;99
g46;737
g47;57
g48;1533
g49;7954
g50;300
g51;238
g52;5957
g53;256
g54;1012
g55;5903
g56;659
g57;1659
g58;745
g59;600
g60;8446
g61;191
g62;823
g63;676
g64;405
g65;226
g66;418
g67;2136
g68;1723
g69;6570
g70;1794
g71;6042
g72;207
g73;8976
g74;428
g75;638
g76;225
g77;648
g78;775
g79;481
g80;495
g81;3543
g82;22
g83;253
g84;323
g85;300
g86;420
g87;632
g88;182
g89;540
g90;362
g91;1765
g92;578
g93;394
g94;177
g95;343
g96;336
g97;186
g98;453
g99;356
g100;1165
g101;763
g102;8169
g103;7440
g104;1024
g105;46
g106;1462
g107;473
g108;1103
g109;35
g110;1383
g111;1672
g112;513
g113;1672
g114;147
g115;372
g116;83
g117;1823
g118;1348
g119;78
g120;1514
g121;5
g122;282
g123;846
g124;1407
g125;1178
g126;568
g127;2256
g128;476
g129;181
g130;118
g131;353
g132;353
g133;3210
g134;233
g135;485
g136;55
g137;556
g138;2645
